timestamp,side,expiry,dte,k1,k2,mv,k1_bid,k1_ask,k2_bid,k2_ask,gross,net,net_lot,profit,profit_lot,rate,ann_rate,src,k1_ce_token,k2_ce_token,k1_pe_token,k2_pe_token,client_ref,req_qty,req_max_buy_lot,req_max_sell_lot,req_n_lot,req_profit,req_jump,req_bid_time,req_delta,req_lot_threshold,ok,strgy_id,error_code,error
2026-08-25 12:24:39.965,LONG,29-Sep-2026,35,24200,24250,50,226.05,370.95,340.50,244.50,48.90,50.69,3294.90,1.10,71.50,2.25%,23.46%,BROADCAST,71736,74097,74083,74098,box_scanner-1475159400-24200-24250,1,1,1,1,1,0,1,1,1,false,,-4,leg 1: token 71736 not found on EXCHG_NSE_FO (unknown/stale contract)
2026-08-25 12:25:08.910,LONG,29-Sep-2026,35,24200,24250,50,226.00,370.85,340.30,244.70,49.25,51.04,3317.63,0.75,48.75,1.52%,15.88%,BROADCAST,71736,74097,74083,74098,box_scanner-1475159400-24200-24250,1,1,1,1,1,0,1,1,1,false,,-4,leg 1: token 71736 not found on EXCHG_NSE_FO (unknown/stale contract)
2026-08-25 12:29:05.452,LONG,08-Sep-2026,14,24100,24300,200,103.60,279.40,162.20,185.00,198.60,199.71,12980.91,1.40,91.00,0.70%,18.38%,BROADCAST,42643,42651,42644,42652,box_scanner-1473345000-24100-24300,1,1,1,1,1,0,1,1,1,true,1787641196,,
2026-08-25 12:29:38.178,LONG,01-Sep-2026,7,24200,24350,150,100.20,150.00,78.10,177.80,149.50,150.27,9767.34,0.50,32.50,0.33%,17.44%,BROADCAST,46993,46999,46994,47000,box_scanner-1472740200-24200-24350,1,1,1,1,1,0,1,1,1,true,1787642064,,
2026-08-25 12:29:42.110,LONG,29-Sep-2026,35,24200,24250,50,226.10,370.30,340.05,244.95,49.10,50.89,3307.84,0.90,58.50,1.83%,19.12%,BROADCAST,71736,74097,74083,74098,box_scanner-1475159400-24200-24250,1,1,1,1,1,0,1,1,1,false,,-4,leg 1: token 71736 not found on EXCHG_NSE_FO (unknown/stale contract)
2026-08-25 12:30:44.912,LONG,29-Sep-2026,35,24200,24250,50,226.25,369.95,339.95,245.05,48.80,50.59,3288.32,1.20,78.00,2.46%,25.64%,BROADCAST,71736,74097,74083,74098,box_scanner-1475159400-24200-24250,1,1,1,1,1,0,1,1,1,false,,-4,leg 1: token 71736 not found on EXCHG_NSE_FO (unknown/stale contract)
2026-08-25 12:30:58.339,LONG,01-Sep-2026,7,24150,24200,50,80.85,179.10,149.10,100.50,49.65,50.42,3277.43,0.35,22.75,0.70%,36.76%,BROADCAST,46991,46993,46992,46994,box_scanner-1472740200-24150-24200,1,1,1,1,1,0,1,1,1,true,1787642057,,
2026-08-25 12:34:16.270,LONG,01-Sep-2026,7,24150,24500,350,81.00,179.40,34.70,285.00,348.70,349.58,22722.63,1.30,84.50,0.37%,19.44%,BROADCAST,46991,47005,46992,47006,box_scanner-1472740200-24150-24500,1,1,1,1,1,0,1,1,1,true,1787642209,,
2026-08-25 12:34:21.957,LONG,29-Sep-2026,35,24200,24250,50,226.60,369.70,339.55,245.45,49.00,50.79,3301.33,1.00,65.00,2.04%,21.28%,BROADCAST,71736,74097,74083,74098,box_scanner-1475159400-24200-24250,1,1,1,1,1,0,1,1,1,false,,-4,leg 1: token 71736 not found on EXCHG_NSE_FO (unknown/stale contract)
2026-08-25 12:44:28.622,LONG,08-Sep-2026,14,24150,24200,50,122.45,245.00,215.15,142.20,49.60,50.70,3295.37,0.40,26.00,0.81%,21.03%,BROADCAST,42645,42647,42646,42648,box_scanner-1473345000-24150-24200,1,1,1,1,1,0,1,1,1,true,1787642414,,
